ID1,ID2,lat,long,el
1,.,44.0800166962873,-121.821658588535,NA
2,.,47.0560454403112,-121.523867070576,NA
3,.,44.2568051465345,-121.720867613225,NA
4,.,45.4369219508522,-121.670202630985,NA
5,.,42.8069242588365,-122.222127543907,NA
6,.,43.146217946125,-122.471140541729,NA
7,.,43.3591186712702,-122.524230975248,NA
8,.,43.1327432166854,-122.671914008588,NA
9,.,44.5136334896527,-121.834324834095,NA
10,.,42.855433284819,-122.683232781216,NA
11,.,44.154127708205,-121.870706603257,NA
12,.,42.6212424871592,-122.281416352912,NA
13,.,45.5557690645093,-121.890110213477,NA
14,.,43.1963439396402,-122.515337653897,NA
15,.,44.5977158013557,-121.698769057142,NA
16,.,45.4053910839636,-121.630586926786,NA
17,.,43.3108791398765,-122.564655163206,NA
18,.,43.466108023020404,-122.344478086127,NA
19,.,42.9589192069149,-122.758960759991,NA
20,.,43.1974219179953,-122.481111841426,NA
21,.,43.0473134320385,-122.47410498218,NA
22,.,43.0303352729446,-122.440687653467,NA
23,.,44.1029237363346,-122.219432598043,NA
24,.,44.2462948575716,-121.737037288409,NA
25,.,43.3092621723438,-122.537975199153,NA
26,.,44.5130945004752,-121.787432776063,NA
27,.,43.0591711939453,-122.655474838819,NA
28,.,44.6766777158716,-121.665890717602,NA
29,.,43.1117226387597,-122.669488557311,NA
30,.,45.6541345894181,-121.869359130325,NA
31,.,44.3578656173313,-121.837019779959,NA
32,.,43.7024547773905,-122.232098843603,NA
33,.,46.9970261253659,-121.478322485476,NA
34,.,46.9886717931134,-121.430082954513,NA
35,.,43.0667170424315,-121.98389432953999,NA
36,.,43.2076627123694,-122.462516714965,NA
37,.,43.068603504553,-121.979312921571,NA
38,.,43.3459134364194,-122.492161119468,NA
39,.,43.1103751658157,-122.547138015091,NA
40,.,42.5406636051106,-122.167150648284,NA
41,.,43.2815042296983,-122.632028809803,NA
42,.,44.5160589409519,-121.93538530399,NA
43,.,44.6807201347034,-121.724371042849,NA
44,.,44.7551006412099,-121.82273656688,NA
45,.,44.1239443142603,-122.010574293592,NA
46,.,43.1750538671256,-122.525308953593,NA
47,.,43.4817387091703,-122.25473638886,NA
48,.,42.9263103616711,-122.574626462902,NA
49,.,43.6703849213243,-122.363073212588,NA
50,.,43.8838246356471,-122.093848120786,NA
51,.,44.0614215696607,-121.865316711529,NA
52,.,45.6029306175478,-121.873401549121,NA
53,.,42.86190115495,-122.786718702389,NA
54,.,44.637331505908,-121.67801797399,NA
55,.,43.3405235446436,-122.765967619238,NA
56,.,43.0801917718711,-122.804774839677,NA
57,.,42.930352780503,-122.63445426108,NA
58,.,42.7632661354523,-122.277912923289,NA
59,.,44.3651419712287,-121.873671043707,NA
60,.,42.7632661354523,-122.921465995583,NA
61,.,44.7823195946778,-121.731377902095,NA
62,.,43.120346465601,-122.82768187952,NA
63,.,43.2753058541561,-122.698593972641,NA
64,.,42.8654045846043,-122.642000109499,NA
65,.,43.3491473714849,-122.533124296598,NA
66,.,43.3502253498401,-122.437453718431,NA
67,.,44.6888049723672,-121.903584942796,NA
68,.,42.7379336441059,-122.186554258504,NA
69,.,43.2462004385666,-122.573009495384,NA
70,.,43.327048815204,-122.476530433457,NA
71,.,44.0754352882779,-122.2479990242,NA
72,.,42.9573022393822,-122.19356111775,NA
73,.,43.063483107366,-122.466559133761,NA
74,.,44.7939078619958,-121.777191981781,NA
75,.,44.5977158013557,-121.733264364199,NA
76,.,44.705783131461,-121.848608047173,NA
77,.,43.0562067534686,-122.642808593258,NA
78,.,42.9537988097279,-122.631220326044,NA
79,.,42.7266148713767,-122.217815630525,NA
80,.,44.4007152569491,-121.804680429592,NA
81,.,43.3240843747273,-122.54120913419,NA
82,.,42.8007258832943,-122.746564009018,NA
83,.,43.2796177675767,-122.607504802441,NA
84,.,43.310340150699,-122.514798664724,NA
85,.,45.5708607614816,-122.108939817624,NA
86,.,46.1906983157019,-121.592318695518,NA
87,.,44.7451293414246,-121.768029165843,NA
88,.,44.1711058672988,-121.881216892126,NA
89,.,42.7530253410782,-122.22266653308,NA
90,.,47.0792219749473,-121.478861474649,NA
91,.,43.2860856377077,-122.994499028494,NA
92,.,45.6794670807645,-121.790936205686,NA
93,.,44.141191967943,-121.692301187068,NA
94,.,44.5890919745144,-121.737037288409,NA
95,.,43.7525807709057,-122.560073755237,NA
96,.,43.0392285943748,-122.214312200902,NA
97,.,44.60121923101,-121.755093425697,NA
98,.,44.1950908857013,-121.883642343404,NA
99,.,44.581815620617,-121.721945591571,NA
100,.,43.0942054904882,-122.182242345121,NA
101,.,46.1987831533656,-121.581808406649,NA
102,.,43.2833906918198,-122.636071228599,NA
103,.,44.4222748240525,-121.833246855749,NA
104,.,45.6535956002406,-121.803871945833,NA
105,.,44.5287251866251,-121.887415267613,NA
106,.,43.1281618086759,-122.62178801552,NA
107,.,44.5357320459336,-121.925952993467,NA
108,.,44.2832156162361,-121.766951187498,NA
109,.,46.9862463418142,-121.440593243382,NA
110,.,43.037611626842,-122.193291623163,NA
111,.,42.8222854503977,-122.688892167531,NA
112,.,42.9632311203356,-122.662481698065,NA
113,.,44.5578306022145,-121.846991079655,NA
114,.,43.3329776961574,-122.435836750912,NA
115,.,43.1033683065071,-122.674069965279,NA
116,.,43.0847731798805,-122.217007146765,NA
117,.,43.3564237253823,-122.504018881269,NA
118,.,42.9284663183815,-122.195986569027,NA
119,.,43.257249716707,-122.576782419593,NA
120,.,43.7903100133365,-121.957214365488,NA
121,.,44.2597695870112,-121.75859685532,NA
